Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5
S_black sesame porridge,#N/A,steamed millet rice,dried pollack soup,braised chicken in teriyaki sauce,seasoned salad with chwinamul,napa cabbage kimchi,S_hot dog,S_milk (100ml),steamed millet rice,spinach soy paste soup,stir-fried pork and cabbage,seasoned salad with bean sprout,napa cabbage kimchi
S_banana,#N/A,steamed white rice,corn soup,fish cutlet + tartar sauce,seasoned salad with sedum in yuzu marinade,radish kimchi cubes,S_steamed potato,S_milk (100ml),steamed rice with black beans,napa cabbage soup,stir-fried chicken breast and paprika,pan-fried zucchini,radish kimchi cubes
S_strawberry,S_milk (200ml),steamed sweet millet rice,mushroom soy paste soup,stir-fried pork and green bean sprout,wild parsnip,napa cabbage kimchi,S_steamed rice cake,S_barley tea,steamed black rice,bean powder mugwort  soup,grilled mackerel,seasoned salad with sedum in vinegar marinade,radish kimchi cubes
S_tomato,S_milk (200ml),steamed sweet rice,mild beef stew,soft tofu + marinade sauce,stir-fried soft crab and vegetables,napa cabbage kimchi,S_pan-fried lotus root,S_barley tea,steamed white rice,green bean sprout soup,braised pork and sweet pumpkin,seasoned cucumber,napa cabbage kimchi
S_milk (200ml),#N/A,fried tofu rice ball,mini-udon (white wheat noodles),chicken tender salad (mustard dressing),#N/A,napa cabbage kimchi,S_toasted bread,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_apple,S_milk (200ml),steamed white rice,beef seaweed soup,braised Spanish mackerel and daikon,seasoned perilla leaf,napa cabbage kimchi,S_banquet noodles,#N/A,steamed sweet millet rice,Sujebi,pan-fried vegetables with soft crab,seasoned salad with crown daisy and perilla seed,radish kimchi cubes
S_dried radish leaves porridge,#N/A,steamed millet rice,curled mallow soy paste soup,steamed eggs,stir-fried anchovy and nuts,napa cabbage kimchi,S_bread roll,S_milk (100ml),steamed black rice,summer radish soy paste soup,steamed Spanish mackerel in marinade sauce,seasoned salad with chicory and apple,napa cabbage kimchi
S_cereal,S_milk (200ml),curried rice with pork,fried tofu soy paste soup,seasoned salad with cucumber,#N/A,napa cabbage kimchi,S_fruit salad,#N/A,steamed mung bean rice,Maesaengyi tofu soup,braised chicken drumsticks,seasoned salad with curled mallow,napa cabbage kimchi
S_orange,S_milk (200ml),steamed millet rice,daikon soup,stir-fried beef and glass noodles,stir-fried beef and glass noodles,napa cabbage kimchi,S_honey-filled rice cake,S_barley tea,steamed millet rice,soy puree stew,stir-fried pork and cucumber,seasoned salad with sea spurrey in vinegar paste,radish kimchi cubes
S_pear,S_milk (200ml),steamed black rice,chicken bone soup,braised tofu in soy sauce,seasoned salad with broccoli in soy paste,napa cabbage kimchi,S_deep-fried shrimp,S_barley tea,steamed sweet brown rice,chard soy paste soup,stir-fried beef and bokchoy,seasoned daikon,napa cabbage kimchi
S_milk (200ml),#N/A,stir-fried rice with seafood,miso paste soup,seasoned salad with acorn jelly,#N/A,napa cabbage kimchi,S_grilled rice cake,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_strawberry,S_milk (200ml),steamed white rice,zucchini soy paste soup,Korean beef kebab,pigweed,napa cabbage kimchi,S_mini-Gimbap (rice roll),S_barley tea,steamed millet rice,dried cabbage leaf soy paste soup,grilled tofu with sweet rice powder,summer radish,radish kimchi cubes
S_rice crust porridge,#N/A,steamed sweet brown rice,clam soup,steamed chicken drumstick with chive and bean powder,seasoned green bean sprout,napa cabbage kimchi,S_rice cake with bean paste,S_milk (100ml),steamed black rice,red chilli paste stew with potato,stir-fried beef and vegetables,seasoned zucchini,napa cabbage kimchi
S_banana,#N/A,Mapa tofu rice bowl,mushroom soup,deep-fried onion ring,#N/A,napa cabbage kimchi,S_doughnut,S_milk (100ml),steamed sweet millet rice,seaweed soup,braised chicken and beef in soy sauce with rice cake,fresh kimchi with chive,radish kimchi cubes
S_apple,S_milk (200ml),steamed millet rice,egg spring onion soup,stir-fried beef and rice cake,braised potato,napa cabbage kimchi,S_stir-fried stem of garlic and glass noodles,S_barley tea,steamed mung bean rice,tofu salted shrimp soup or stew,stir-fried vegetables and fried fish paste,bracken,napa cabbage kimchi
S_tomato,S_milk (200ml),steamed millet rice,bokchoy soy paste soup,steamed pork rib,seasoned dried radish leaves,radish kimchi cubes,S_fried mandu (dumpling),S_barley tea,steamed white rice,cuttlefish soup,rolled omelette with vegetables,braised burdock slices,napa cabbage kimchi
S_milk (200ml),#N/A,beef bean sprout rice + marinade sauce,tofu soy paste soup,pan-fried corn,#N/A,napa cabbage kimchi,S_sweet red bean bun,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_pear,S_milk (200ml),steamed white rice,tofu soup,stir-fried beef and mushroom,fresh kimchi with spring parsley,radish kimchi cubes,S_rice ball with seaweed flakes,S_barley tea,steamed sweet millet rice,dried radish leaf soy paste soup,barbequed pork,seasoned bokchoy,radish kimchi cubes
S_chard porridge,#N/A,steamed sweet brown rice,fried fish paste soup,braised Atka mackerel in sweet soy sauce,seasoned salad with sedum,radish kimchi cubes,S_steamed sweet potato,S_barley tea,steamed millet rice,winter mushroom soy paste soup,stir-fried beef and broccoli,seasoned salad with spring parsley,radish kimchi cubes
S_cereal,S_milk (200ml),stir-fried rice with tuna and kimchi,miso paste soup,pan-fried meat dumpling,#N/A,napa cabbage kimchi,S_steamed sweet pumpkin,S_barley tea,steamed black rice,rice cake soup,grilled Atka mackerel,seasoned chard,napa cabbage kimchi
S_orange,S_milk (200ml),steamed millet rice,potato onion soup,braised pork and lotus root,seasoned spinach,radish kimchi cubes,S_black soy tteokbokki (stir-fried rice cake),S_barley tea,steamed rice with black beans,tuna kimchi stew,braised eggs in soy sauce,seasoned salad with cucumber,radish kimchi cubes
S_kiwi,S_milk (200ml),steamed millet rice,winter cabbage soy paste soup,steamed chicken,stir-fried dried pollack,napa cabbage kimchi,S_muffin,S_barley tea,steamed white rice,dried pollack soup,roasted pork and vegetables,stir-fried potato,napa cabbage kimchi
S_milk (200ml),#N/A,tomato spaghetti,cream soup,corn salad,#N/A,radish kimchi cubes,S_fermented rice cake,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_apple,S_milk (200ml),steamed black rice,crab soy paste soup,braised pork in soy sauce,seasoned herbs with aubergine and perilla seed,napa cabbage kimchi,S_burdock rice ball,S_barley tea,steamed sweet brown rice,acorn jelly soup,spicy stir-fried chicken,seasoned salad with lettuce in vinegar marinade,radish kimchi cubes
S_pine nut porridge,#N/A,steamed sweet millet rice,bean sprout soup,chop steak,fresh kimchi with chive,napa cabbage kimchi,S_boiled egg,S_milk (100ml),steamed white rice,soft tofu stew,stir-fried rice with shrimp,seasoned salad with aubergine in marinade sauce,napa cabbage kimchi
S_banana,#N/A,stir-fried rice with pork in oyster sauce,zucchini soup,deep-fried spring rolls,lettuce salad (thousand island dressing),radish kimchi cubes,S_sponge cake,S_milk (100ml),steamed millet rice,kimchi soup,stir-fried beef and chives,seasoned salad with bean sprout and salted seaweed,radish kimchi cubes
S_tomato,S_milk (200ml),steamed millet rice,rich soy paste stew,stir-fried chicken breast and cabbage,seasoned salad with hijiki and tofu,napa cabbage kimchi,S_pan-fried vegetables with tuna,S_barley tea,steamed sweet millet rice,freshwater snail soy paste soup,steamed pork slices,steamed cabbage wraps + soy red chilli paste,radish kimchi cubes
S_banana,#N/A,steamed white rice,dried pollack seaweed soup,stir-fried pork with glass noodles,seasoned salad with cucumber,napa cabbage kimchi,S_cake,S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_black sesame porridge,#N/A,steamed millet rice,dried pollack soup,braised chicken in teriyaki sauce,seasoned salad with chwinamul,napa cabbage kimchi,S_hot dog,S_milk (100ml),steamed millet rice,spinach soy paste soup,stir-fried pork and cabbage,seasoned salad with bean sprout,napa cabbage kimchi
S_kimchi porridge,#N/A,steamed white rice,corn soup,fish cutlet + tartar sauce,seasoned salad with sedum in yuzu marinade,radish kimchi cubes,S_steamed potato,S_milk (100ml),steamed rice with black beans,napa cabbage soup,stir-fried chicken breast and paprika,pan-fried zucchini,radish kimchi cubes
