kor,eng
시작,BOS
종료,EOS
(고춧가루제외)갈치조림,(chilli powder-free) braised cutlassfish
(고춧가루제외)상추겉절이,(chilli powder-free) braised lettuce
(고춧가루제외)고등어조림,(chilli powder-free) braised mackerel
(고춧가루제외)도토리묵무침,(chilli powder-free) seasoned salad with acorn jelly
(고춧가루제외)부추사과무침,(chilli powder-free) seasoned salad with chive and apple
(고춧가루제외)오이무침,(chilli powder-free) seasoned salad with cucumber
(고춧가루제외)노각무침,(chilli powder-free) seasoned salad with overripe cucumber
(수제)떡갈비구이,(homestyle) roasted pork roll with rice cake
(저염·저당)메추리알케첩조림,(low salt and sugar) braised quail eggs in ketchup
(저염·저당)메추리알장조림,(low salt and sugar) braised quail eggs in soy sauce
(저염)소고기호두조림,(low sodium) braised beef and walnut
(저염·저당)돼지고기메추리알조림,"(low sodium, low sugar) braised pork and quail egg"
(저염·저당)소고기장조림,"(low sodium, low sugar) soy sauce-braised beef"
(저염·저당)우엉조림,(low salt and sugar) braised burdock slices
(저염·저당)찜닭,(low salt and sugar) steamed chicken
(저염·저당)돼지갈비찜,(low salt and sugar) steamed pork rib
(저염)닭가슴살단호박조림,(low-salt) braised chicken and sweet pumpkin
(저염)닭가슴살데리야끼조림,(low-salt) braised chicken in teriyaki sauce
(저염)갈치조림,(low-salt) braised cutlassfish
(저염)달걀장조림,(low-salt) braised eggs in soy sauce
(저염)연근조림,(low-salt) braised lotus root
(저염)감자조림,(low-salt) braised potato
(저염)닭곰탕,(low-salt) chicken bone soup
(저염)닭가슴살피망볶음,(low-salt) stir-fried chicken and paprika
(저당)닭갈비,(low-sugar) stir-fried chicken
(소고기제외)당면양배추국,(no beef) glass noodles cabbage soup
(가공)만두튀김,(processed) deep-fried mandu (dumpling)
묵국,Acorn jelly soup
온도토리묵국,Acorn jelly soup(hot)
알리오올리오스파게티,Aglio e olio spaghetti
멸치주먹밥,Anchovy rice ball
멸치파래주먹밥,Anchovy sea lettuce rice ball
멸치장국,Anchovy soy paste soup
사과참외샐러드,Apple and korean melon salad
사과연근샐러드,Apple and lotus root salad
사과오렌지샐러드(요거트드레싱),Apple orange salad (yoghurt dressing)
사과샐러드,Apple salad
사과샐러드(발사믹드레싱),Apple salad (balsamic vinegar dressing)
사과샐러드(마요네즈),Apple salad (mayonnaise)
모듬어묵국,Assorted fried fish paste soup
모듬어묵탕,Assorted fried fish cake soup
모듬어묵장국,Assorted fried fish paste soy paste soup
모듬과일샐러드,Assorted fruit salad
모둠쌈,Assorted lettuce-wraps
모듬버섯탕수,Assorted mushroom dumpling
모듬버섯국,Assorted mushroom soup
모듬버섯된장국,Assorted mushroom soy paste soup
모듬버섯찌개,Assorted mushroom stew
잔멸치주먹밥,Baby anchovy rice ball
베이컨치즈스파게티,Bacon cheese spaghetti
베이컨크림떡볶이,Bacon cream tteokbokki (stir-fried rice cake)
베이컨주먹밥,Bacon rice ball
베이컨채소말이,Bacon roll with vegetables
도라지나물(간장),Balloon flower seasoned with soy sauce
바나나사과키위샐러드,Banana apple kiwi salad
잔치국수,Banquet noodles
소불고기,Barbequed beef
청경채불고기,Barbequed beef and bokchoy
우엉불고기,Barbequed beef and burdock
오징어불고기,Barbequed beef and cuttlefish
조랭이떡소불고기,Barbequed beef and mini-ball rice cake
고추장불고기,Barbequed beef in red chilli paste
불고기주먹밥,Barbequed beef rice ball
유부불고기덮밥,Barbequed beef rice bowl with fried tofu
미나리불고기덮밥,Barbequed beef rice bowl with water celery
닭살버섯불고기,Barbequed chicken and mushroom
오리불고기,Barbequed duck
돼지불고기,Barbequed pork
콩나물돼지불고기,Barbequed pork and bean sprout
부추돼지불고기,Barbequed pork and chive
파돼지불고기,Barbequed pork and spring onion
오삼불고기,Barbequed pork belly and cuttlefish
안매운오삼불고기,Barbequed pork belly and cuttlefish (mild flavor)
바베큐폭찹,Barbequed pork chops
간장돼지불고기,Barbequed pork in soy sauce
돼지간장불고기,bulgogi(pork)
돼지불고기덮밥,Barbequed pork over rice
열무보리비빔밥,Barely bibimbap with summer radish
콩가루무채국,Bean powder daikon soup
콩가루시래기국,Bean powder dried radish leaves soup
콩가루쑥국,Bean powder mugwort  soup
콩가루배추국,Bean powder napa cabbage soup
콩가루냉이된장국,Bean powder shepherd's purse soy paste soup
콩가루시금치국,Bean powder spinach  soup
콩가루봄동국,Bean powder spring cabbage soup
콩가루열무된장국,Bean powder summer radish soy paste soup
콩나물냉채,Bean sprout and mung bean jelly salad
콩나물미나리냉채,Bean sprout and winter celery salad
콩나물육개장,Bean sprout beef stew
콩나물무국,Bean sprout daikon soup
콩나물북어국,Bean sprout dried pollack soup
콩나물어묵국,Bean sprout fried fish paste soup
콩나물어묵탕,Bean sprout fried fish cake soup
콩나물국,Bean sprout soup
콩나물맑은국,Bean sprout soup(clear)
콩나물된장국,Bean sprout soy paste soup
콩나물쫄면,Bean sprout spicy chewy noodles
소고기가지덮밥,Beef and aubergine over rice
소고기콩나물국,Beef and bean sprout soup
소고기양배추덮밥,Beef and cabbage over rice
소고기팽이버섯국,Beef and enoki mushroom soup
소고기떡국,Beef and rice cake soup
소고기두부탕국,Beef and tofu soup
소고기비빔밥,Beef bibimbap
곰국,Beef bone soup
설렁탕,Beef bone soup(Beef edible offal)
양지곰국,Beef bone soup(plate)
사골파국,Beef bone-broth green onion soup
차돌버섯찌개,Beef brisket mushroom stew
차돌순두부백탕,Beef brisket unpressed tofu soup
차돌박이된장국,Beef brisket soy paste soup
차돌박이된장찌개,Beef brisket soy paste stew
차돌얼갈이국,Beef brisket winter cabbage soup
소불고기(등심),Beef bulgogi (sirloin)
소불고기(안심),Beef bulgogi (tenderloin)
소불고기덮밥,Beef bulgogi over rice
소불고기덮밥(안심),Beef bulgogi over rice (tenderloin)
소고기가지불고기,Beef bulgogi with aubergine
달래소불고기,Beef bulgogi with wild korean-leeks
소고기양배추국,Beef cabbage soup
소고기오이볶음밥,Beef cucumber fried rice
소고기볶음밥,Beef fried rice
소고기숙주국,Beef green bean sprout soup
소고기하이라이스,Beef hashed rice
소고기잡채,Beef japchae
소고기잡채덮밥,Beef japchae over rice
소고기부추볶음밥,Beef korean-leeks fried rice
소고기부추국,Beef korean-leeks soup
소고기상추비빔밥,Beef lettuce bibimbap
소고기버섯들깨국,Beef mushroom perilla seed soup
소고기버섯국,Beef mushroom soup
소고기버섯찌개,Beef mushroom stew
소고기배추국,Beef napa cabbage soup
소고기오므라이스,Beef omelet rice
소고기양파국,Beef onion soup
소고기전,Beef pancake
소고기깻잎국,Beef perilla leaf soup
소고기파인애플볶음밥,Beef pineapple fried rice
소고기감자국,Beef potato soup
소고기무국,Beef radish soup
소고기김주먹밥,Beef rice ball with seaweed flakes
소고기주먹밥,Beef rice balls
소고기쌀국수,Beef rice noodles
소고기순두부찌개,Beef unpressed tofu stew
소고기국,Beef soup
소고기탕국,Beef soup(based soy sauce)
소고기우거지국,Beef soup with boiled napa cabbage
소고기당면국,Beef soup with glass noodles
소고기비빔국수,Beef spicy noodles
소고기봄동국,Beef spring cabbage soup
맑은육개장,Beef stew(clear)
육개장,Beef stew
소고기짜장볶음,Beef stir-fried with black bean sauce
소고기카레볶음,Beef stir-fried with curry
소고기케첩볶음,Beef stir-fried with ketchup
소고기굴소스덮밥,Beef stir-fried with oyster sauce over rice
고추장소고기볶음,Beef stir-fried with red chili-pepper paste
소고기채소볶음밥,Beef vegetable fried rice
소고기얼갈이국,Beef winter cabbage soup
비트무초절임,Beet and daikon in vinegar marinade
비트무생채,Beet and daikon salad
도라지강정,Bellflower root nuggets
장조림버터비빔밥,Bibimbap with butter and braised beef in soy sauce
나물비빔밥,Bibimbap with herbs
청포묵비빔밥,Bibimbap with mung bean jelly
게살비빔밥,Bibimbap with soft crab
열무보리간장비빔밥,Bibimbap with soy-based barley rice and summer radish
봄나물비빔밥,Bibimbap with spring herbs
열무비빔밥,Bibimbap with summer radish
삼색나물비빔밥,Bibimbap with three-color herbs
참치비빔밥,Bibimbap with tuna
참치새싹비빔밥,Bibimbap with tuna and sprouts
참치채소비빔밥,Bibimbap with tuna and vagetable
채소비빔밥,Bibimbap with vegetables
겨울나물비빔밥,Bibimbap with winter herbs
왕만두국,Big dumpling soup
짜장면,Black soy noodles
짜장라이스,Black soy rice
짜장덮밥,Black soy rice bowl
고구마짜장밥,Black soy rice with sweet potato
호박짜장밥,Black soy rice with zucchini
짜장떡볶이,Black soy tteokbokki (stir-fried rice cake)
블루베리고구마샐러드,Blueberry sweet potato salad
돼지고기편육,Boiled and cooled pork slices
브로콜리숙채,Boiled broccoli
삶은달걀,Boiled egg
돼지수육,Boiled pork
돼지고기수육+쌈장,Boiled pork + ssamjang (soybean paste + red chili-pepper paste)
돼지고기보쌈,Boiled pork with nappa cabbage wraps
청경채맑은국,Bokchoy soup
청경채된장국,Bokchoy soy paste soup
뼈없는닭갈비,Boneless chicken steak with sauce
고사리나물,Bracken
명태조림,Braised alaska pollock
아몬드멸치조림,Braised almond and anchovy
건새우아몬드조림,Braised almond and dried shrimp
멸치조림,Braised anchovy
멸치아몬드조림,Braised anchovy and almond
멸치마늘조림,Braised anchovy and garlic stem
단배추멸치조림,Braised anchovy and sweet napa cabbage
