kor_name,eng_name
S꼬마김밥,S_mini-Gimbap (rice roll)
S달걀채소볶음밥,S_stir-fried rice with eggs and vegetables
S쇠고기파프리카볶음밥,S_stir-fried rice with beef and paprika
S쇠고기볶음밥,S_stir-fried rice with beef
S달걀볶음밥,S_stir-fried rice with eggs
S떡국,S_rice cake soup
S핫케이크,S_pancake
S(저당)씨리얼,S_(low-sugar) cereal
S감자샐러드,S_potato salad
S감자건포도샐러드,S_potato raisin salad
S감자채요거트샐러드,S_potato yoghurt salad
S개피떡,S_rice cake with bean paste
S개피떡(40g),S_rice cake with bean paste (40g)
S파인애플,S_pineapple
S거봉,S_kyoho grape
S건포도감자볼,S_raisin potato bowl
S검은깨두유(100ml),S_black sesame soy milk (100ml)
S검은깨두유(150ml),S_black sesame soy milk (150ml)
S검은깨두유(200ml),S_black sesame soy milk (200ml)
S검은콩우유(100ml),S_black soybean milk (100ml)
S검은콩우유(150ml),S_black soybean milk (150ml)
S검은콩우유(200ml),S_black soybean milk (200ml)
S아몬드,S_almond
S땅콩,S_peanut
S호두,S_walnut
S견과류,S_nuts
S달걀토스트,S_fried-egg toast
S계란토스트,S_fried-egg toast
S고구마경단,S_sweet potato dango
S고구마맛탕,S_sweet potato mattang (sugar-glazed deep-fried sweet potato wedge)
S고구마쉐이크,S_sweet potato shake
S곶감,S_dried persimmon
S푸실리샐러드,S_Fusilli salad
S토마토두부샐러드,S_tomato tofu salad
S과일샐러드,S_fruit salad
S과일샐러드(마요네즈),S_fruit salad (mayonnaise)
S과일연두부스무디,S_fruit soft tofu smoothie
S귤,S_tangerine
S귤(50g),S_tangerine (50g)
S꿀떡,S_honey-filled rice cake
S꿀호떡,S_honey-filled fried pancake
S시루떡,S_steamed rice cake
S노란시루떡,S_yellow steamed rice cake
S단감,S_sweet persimmon
S감말랭이,Dried?Persimmon
S단팥도너츠,S_sweet red bean doughnut
S모카빵,S_mocha break
S단팥빵,S_sweet red bean bun
S단호박떡케익,S_sweet pumpkin rice cake-based cake
