Breakfast1,Breakfast2,Breakfast3,Breakfast4,Breakfast5,Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5,Score
rice bowl with beef and aubergine,oyster mushroom soup,stir-fried jukkumi and vegetables in soy sauce,steamed fish and zucchini,whole radish kimchi,S_homestyle banana milk,S_sweet pumpkin cream risotto,steamed red bean rice (30),tofu stew,seasoned winter mushroom,stir-fried barbequed beef and mushroom,pickled beet,S_rice-based beverage,S_soft tofu salad (oriental dressing),steamed sweet rice (add),mandu (dumpling) soup,braised burdock slices and konjac,seasoned salad with bellflower root,radish kimchi cubes,1
steamed sweet rice (add),mandu (dumpling) soup,stir-fried barbequed beef and mushroom,seasoned salad with bellflower root,whole radish kimchi,S_soft tofu salad (oriental dressing),S_homestyle banana milk,rice bowl with beef and aubergine,oyster mushroom soup,steamed fish and zucchini,braised burdock slices and konjac,pickled beet,S_sweet pumpkin cream risotto,S_rice-based beverage,steamed red bean rice (30),tofu stew,stir-fried jukkumi and vegetables in soy sauce,seasoned winter mushroom,radish kimchi cubes,4
steamed sweet barley rice (40),persimmon pine nut soup,stir-fried barbequed beef and mushroom,seasoned salad with bellflower root,whole radish kimchi,S_almond,S_homestyle banana milk,rice bowl with beef and aubergine,shredded radish onion soup,deep-fried onion ring,egg salad,pickled beet,S_sweet pumpkin cream risotto,S_mango juice,steamed red bean rice,tofu stew,stir-fried jukkumi and vegetables in soy sauce,stir-fried perilla leaf,radish kimchi cubes,5
steamed chestnut red bean sweet rice,potato soup,braised spicy chicken without bones,braised sweet potato and quail eggs,cucumber kimchi,S_raisin potato bowl,S_orange juice,steamed white rice (add),clam soy paste soup,stir-fried spring parsley,braised pollack in sweet soy sauce,radish watery kimchi,S_napa cabbage mushroom porridge,S_milk (200ml),steamed millet rice (30),red bean porridge,braised Korean kebab in soy sauce,deep-fried cutlassfish in curry,spring onion kimchi,1
steamed white rice (add),red bean porridge,braised Korean kebab in soy sauce,braised sweet potato and quail eggs,radish watery kimchi,S_raisin potato bowl,S_milk (200ml),steamed chestnut red bean sweet rice,clam soy paste soup,braised spicy chicken without bones,deep-fried cutlassfish in curry,cucumber kimchi,S_napa cabbage mushroom porridge,S_orange juice,steamed millet rice (30),potato soup,braised pollack in sweet soy sauce,stir-fried spring parsley,spring onion kimchi,3
steamed white rice (add),red bean porridge,grilled mackerel,braised sweet potato and quail eggs,radish watery kimchi,S_cheese,S_milk (200ml),steamed chestnut red bean sweet rice,clam soy paste soup,braised spicy chicken without bones,seasoned salad with sedum and chive,sweet napa cabbage watery kimchi,S_pan-fried shrimp and vegetables,S_orange juice,steamed millet rice,potato soup,braised pollack in sweet soy sauce,salted seaweed,white kimchi,5
stir-fried rice with seafood,soft tofu soup,roasted beef with sweet rice,stir-fried dried shrimp,pickled beet,S_sesame veggie porridge,S_melon,steamed pearl barley rice,clam soup,seasoned salad with lettuce in yuzu marinade,wild parsnip,summer radish watery kimchi,S_sweet pumpkin rice punch,S_milk with misugaru (mixed grain powder),steamed brown rice (40),dried pollack soup,stir-fried soft crab and paprika,braised konjac and quail eggs,winter cabbage kimchi,1
steamed brown rice (40),dried pollack soup,stir-fried soft crab and paprika,wild parsnip,summer radish watery kimchi,S_sesame veggie porridge,S_sweet pumpkin rice punch,stir-fried rice with seafood,soft tofu soup,braised konjac and quail eggs,seasoned salad with lettuce in yuzu marinade,pickled beet,S_melon,S_milk with misugaru (mixed grain powder),steamed pearl barley rice,clam soup,roasted beef with sweet rice,stir-fried dried shrimp,winter cabbage kimchi,3
steamed brown rice (40),dried pollack soup,stir-fried soft crab and paprika,wild parsnip,summer radish watery kimchi,S_tangerine,S_sweet pumpkin rice punch,stir-fried rice with seafood,tofu konjac soup,braised konjac and quail eggs,seasoned salad with lettuce in yuzu marinade,pickled beet,S_melon,S_milk with misugaru (mixed grain powder),steamed pearl barley rice,clam soup,roasted beef with sweet rice,stir-fried dried shrimp,winter cabbage kimchi,5
steamed brown sweet rice,noodles in fish soup,stir-fried spicy jukkumi,seasoned salad with aubergine,whole radish kimchi,S_rice-based beverage,S_homestyle banana milk,beef rice ball with seaweed flakes,dried cabbage leaf soup,steamed fish and zucchini,seasoned salad with deodeok and apple,radish watery kimchi,S_carrot soup,S_soft tofu salad (oriental dressing),steamed pearl barley rice (30),mandu (dumpling) chicken stew,seasoned winter mushroom,pan-fried mung bean and kimchi,radish kimchi cubes,1
